Enchanted,"'Animation,Comedy,Family'",'Kevin Lima',"'Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey'",2007,107,127.71
Happy Feet,"'Animation,Comedy,Family'",'George Miller',"'Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams'",2006,108,197.99
Ratatouille,"'Animation,Comedy,Family'",'Brad Bird',"'Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm'",2007,111,206.44
Coraline,"'Animation,Family,Fantasy'",'Henry Selick',"'Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders'",2009,100,75.28
The Wolf of Wall Street,"'Biography,Comedy,Crime'",'Martin Scorsese',"'Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey'",2013,180,116.87
Eddie the Eagle,"'Biography,Comedy,Drama'",'Dexter Fletcher',"'Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley'",2016,106,15.79
Florence Foster Jenkins,"'Biography,Comedy,Drama'",'Stephen Frears',"'Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson'",2016,111,27.37
Saving Mr. Banks,"'Biography,Comedy,Drama'",'John Lee Hancock',"'Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell'",2013,125,83.3
The Big Short,"'Biography,Comedy,Drama'",'Adam McKay',"'Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt'",2015,130,70.24
American Gangster,"'Biography,Crime,Drama'",'Ridley Scott',"'Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin'",2007,157,130.13
Black Mass,"'Biography,Crime,Drama'",'Scott Cooper',"'Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton'",2015,123,62.56
Freedom Writers,"'Biography,Crime,Drama'",'Richard LaGravenese',"'Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn'",2007,123,36.58
Legend,"'Biography,Crime,Drama'",'Brian Helgeland',"'Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson'",2015,132,1.87
Notorious,"'Biography,Crime,Drama'",'George Tillman Jr.',"'Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione'",2009,122,36.84
Public Enemies,"'Biography,Crime,Drama'",'Michael Mann',"'Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke'",2009,140,97.03
The Assassination of Jesse James by the Coward Robert Ford,"'Biography,Crime,Drama'",'Andrew Dominik',"'Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker'",2007,160,3.9
The Infiltrator,"'Biography,Crime,Drama'",'Brad Furman',"'Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan'",2016,127,15.43
12 Years a Slave,"'Biography,Drama,History'",'Steve McQueen',"'Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt'",2013,134,56.67
Argo,"'Biography,Drama,History'",'Ben Affleck',"'Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin'",2012,120,136.02
Hacksaw Ridge,"'Biography,Drama,History'",'Mel Gibson',"'Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer'",2016,139,67.12
Hidden Figures,"'Biography,Drama,History'",'Theodore Melfi',"'Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner'",2016,127,169.27
Lincoln,"'Biography,Drama,History'",'Steven Spielberg',"'Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt'",2012,150,182.2
Marie Antoinette,"'Biography,Drama,History'",'Sofia Coppola',"'Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis'",2006,123,15.96
Straight Outta Compton,"'Biography,Drama,History'",'F. Gary Gray',"'O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.'",2015,147,161.03
The Other Boleyn Girl,"'Biography,Drama,History'",'Justin Chadwick',"'Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess'",2008,115,26.81
Changeling,"'Biography,Drama,Mystery'",'Clint Eastwood',"'Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith'",2008,141,35.71
The Danish Girl,"'Biography,Drama,Romance'",'Tom Hooper',"'Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw'",2015,119,12.71
The Theory of Everything,"'Biography,Drama,Romance'",'James Marsh',"'Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry'",2014,123,35.89
Chuck,"'Biography,Drama,Sport'",'Philippe Falardeau',"'Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber'",2016,98,0.11
Moneyball,"'Biography,Drama,Sport'",'Bennett Miller',"'Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman'",2011,133,75.61
The Blind Side,"'Biography,Drama,Sport'",'John Lee Hancock',"'Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head'",2009,129,255.95
Unbroken,"'Biography,Drama,Sport'",'Angelina Jolie',"'Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund'",2014,137,115.6
Captain Phillips,"'Biography,Drama,Thriller'",'Paul Greengrass',"'Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener'",2013,134,107.1
A Quiet Passion,"'Biography,Drama'",'Terence Davies',"'Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine'",2016,125,1.08
Dallas Buyers Club,"'Biography,Drama'",'Jean-Marc Vallee',"'Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn'",2013,117,27.3
Genius,"'Biography,Drama'",'Michael Grandage',"'Colin Firth, Jude Law, Nicole Kidman, Laura Linney'",2016,104,1.36
The King's Speech,"'Biography,Drama'",'Tom Hooper',"'Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi'",2010,118,138.8
The Man Who Knew Infinity,"'Biography,Drama'",'Matt Brown',"'Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi'",2015,108,3.86
The Pursuit of Happyness,"'Biography,Drama'",'Gabriele Muccino',"'Will Smith, Thandie Newton, Jaden Smith, Brian Howe'",2006,117,162.59
The Social Network,"'Biography,Drama'",'David Fincher',"'Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara'",2010,120,96.92
Focus,"'Comedy,Crime,Drama'",'Glenn Ficarra',"'Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez'",2015,105,53.85
In Bruges,"'Comedy,Crime,Drama'",'Martin McDonagh',"'Colin Farrell, Brendan Gleeson, Ciarán Hinds,Elizabeth Berrington'",2008,107,7.76
Pain & Gain,"'Comedy,Crime,Drama'",'Michael Bay',"'Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub'",2013,129,49.87
War Dogs,"'Comedy,Crime,Drama'",'Todd Phillips',"'Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner'",2016,114,43.02
The Family,"'Comedy,Crime,Thriller'",'Luc Besson',"'Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo'",2013,111,36.92
Get Hard,"'Comedy,Crime'",'Etan Cohen',"'Will Ferrell, Kevin Hart, Alison Brie, T.I.'",2015,100,90.35
Horrible Bosses,"'Comedy,Crime'",'Seth Gordon',"'Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe'",2011,98,117.53
Seven Psychopaths,"'Comedy,Crime'",'Martin McDonagh',"'Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken'",2012,110,14.99
17 Again,"'Comedy,Drama,Family'",'Burr Steers',"'Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon'",,102,64.15
Hairspray,"'Comedy,Drama,Family'",'Adam Shankman',"'John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer'",2007,117,118.82
About Time,"'Comedy,Drama,Fantasy'",'Richard Curtis',"'Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson'",2013,123,15.29
The Host,"'Comedy,Drama,Horror'",'Bong Joon Ho',"'Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae'",2006,120,2.2
Tusk,"'Comedy,Drama,Horror'",'Kevin Smith',"'Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez'",2014,102,1.82
Footloose,"'Comedy,Drama,Music'",'Craig Brewer',"'Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell'",2011,113,51.78
La La Land,"'Comedy,Drama,Music'",'Damien Chazelle',"'Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons'",2016,128,151.06
Magic Mike XXL,"'Comedy,Drama,Music'",'Gregory Jacobs',"'Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez'",2015,115,
(500) Days of Summer,"'Comedy,Drama,Romance'",'Marc Webb',"'Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz'",2009,95,32.39
A Good Year,"'Comedy,Drama,Romance'",'Ridley Scott',"'Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard'",2006,117,7.46
Before We Go,"'Comedy,Drama,Romance'",'Chris Evans',"'Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum'",2014,95,0.04
"Crazy, Stupid, Love.","'Comedy,Drama,Romance'",'Glenn Ficarra',"'Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone'",2011,118,84.24
Don Jon,"'Comedy,Drama,Romance'",'Joseph Gordon-Levitt',"'Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza'",2013,90,24.48
Easy A,"'Comedy,Drama,Romance'",'Will Gluck',"'Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd'",2010,92,58.4
Forgetting Sarah Marshall,"'Comedy,Drama,Romance'",'Nicholas Stoller',"'Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis'",2008,111,62.88
