Never Back Down,"'Action,Adventure,Drama,Sport'",Jeff Wadlow,"'Sean Faris, Amber Heard, Cam Gigandet, Evan Peters, Leslie Hope, Djimon Hounsou, Wyatt Smith, Affion Crockett, Neil Brown Jr., Lauren Leech, Tilky Jones, Steven Crowley, Tom Nowicki'",2008,113,
Clear and Present Danger,"'Action,Adventure,Dramas'",Phillip Noyce,"'Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin'",1994,142,
Army of the Dead,"'Action,Adventure,Horror'",Zack Snyder,"'Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy'",2021,148,
Blood Red Sky,"'Action,Adventure,Horror,International'",Peter Thorwarth,"'Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch'",2021,123,
Underworld,"'Action,Adventure,Horror,Sci-Fi,Fantasy'",Len Wiseman,"'Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robbie Gee, Wentworth Miller, Kevin Grevioux'",2003,121,
Jaws 3,"'Action,Adventure,Horror,Thriller'",Joe Alves,"'Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr.'",,98,
Jaws: The Revenge,"'Action,Adventure,Horror,Thriller'",Joseph Sargent,"'Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine'",1987,,
Dynasty Warriors,"'Action,Adventure,International'",Chow Hin Yeung Roy,"'Wang Kai, Louis Koo, Han Geng, Tony Yang, Carina Lau, NaZha, Lam Suet, Justin Cheung, Ray Lui, Yuan Wenkang'",2021,118,
Monster Run,"'Action,Adventure,International'",Henri Wong,"'Shawn Yue, Jessie Li, Kara Wai, Tu Men, Qiao Shan, Wang Yutian, Yang Di, Wang Zhener'",2020,104,
The Take,"'Action,Adventure,International'",James Watkins,"'Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard'",2016,92,
The Tourist,"'Action,Adventure,Romance'",Florian Henckel von Donnersmarck,"'Angelina Jolie, Johnny Depp, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Christian De Sica, Alessio Boni, Daniele Pecci, Giovanni Guidelli'",2010,103,
Battle: Los Angeles,"'Action,Adventure,Sci-Fi,Fantasy'",Jonathan Liebesman,"'Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Peña, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack'",2011,116,
Chappie,"'Action,Adventure,Sci-Fi,Fantasy'",Neill Blomkamp,"'Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo'",2015,121,
Green Lantern,"'Action,Adventure,Sci-Fi,Fantasy'",Martin Campbell,"'Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins'",2011,114,
How It Ends,"'Action,Adventure,Sci-Fi,Fantasy'",David M. Rosenthal,"'Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove'",2018,113,
Star Trek,"'Action,Adventure,Sci-Fi,Fantasy'",J.J. Abrams,"'Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Eric Bana, Leonard Nimoy, Bruce Greenwood, Ben Cross, Winona Ryder'",2009,128,
